id;trial;stimulus;occ;dur;first;first_graph
982091068548608;1;Pink noise;0;0;0;no
982091068548608;2;Chewing + Calls;1;15.499;1;yes
982091068548608;3;Calls;7;37.022;0;no
982091068548608;4;Silence;5;6.767;0;no
982091068548608;5;Chewing;0;0;0;no
982091068535053;1;Calls;1;15.500;1;yes
982091068535053;2;Silence;8;37.995;0;no
982091068535053;3;Chewing + Calls;6;22.244;0;no
982091068535053;4;Chewing;5;16.496;0;no
982091068535053;5;Pink noise;4;2.500;0;no
982091068555272;1;Pink noise;0;0;0;no
982091068555272;2;Silence;0;0;0;no
982091068555272;3;Calls;1;37.390;1;yes
982091068555272;4;Chewing;2;15.244;0;no
982091068555272;5;Chewing + Calls;0;0;0;no
982091068551940;1;Silence;3;12.067;1;yes
982091068551940;2;Pink noise;1;1.000;0;no
982091068551940;3;Chewing;0;0;0;no
982091068551940;4;Chewing + Calls;0;0;0;no
982091068551940;5;Calls;0;0;0;no
982091068543272;1;Chewing;0;0;0;no
982091068543272;2;Silence;0;0;0;no
982091068543272;3;Calls;2;20.484;1;yes
982091068543272;4;Pink noise;1;1.252;0;no
982091068543272;5;Chewing + Calls;0;0;0;no
982091068556107;1;Chewing + Calls;0;0;0;no
982091068556107;2;Pink noise;0;0;0;no
982091068556107;3;Chewing;0;0;0;no
982091068556107;4;Silence;3;10.267;1;yes
982091068556107;5;Calls;2;1.252;0;no
982091068034790;1;Silence;0;0;0;no
982091068034790;2;Chewing;0;0;0;no
982091068034790;3;Chewing + Calls;1;4.256;1;yes
982091068034790;4;Pink noise;3;23.988;0;no
982091068034790;5;Calls;2;17.208;0;no
982091068540364;1;Chewing + Calls;1;3.247;1;yes
982091068540364;2;Chewing;0;0;0;no
982091068540364;3;Silence;2;32.773;0;no
982091068540364;4;Calls;2;17.737;0;no
982091068540364;5;Pink noise;2;10.027;0;no
982091068551574;1;Calls;4;39.786;1;yes
982091068551574;2;Silence;5;23.312;0;no
982091068551574;3;Pink noise;2;14.729;0;no
982091068551574;4;Chewing;5;15.511;0;no
982091068551574;5;Chewing + Calls;3;31.764;0;no
982091068549449;1;Chewing;0;0;0;no
982091068549449;2;Chewing + Calls;0;0;0;no
982091068549449;3;Silence;0;0;0;no
982091068549449;4;Pink noise;0;0;0;no
982091068549449;5;Calls;1;8.000;1;yes
982091068561051;1;Chewing + Calls;2;11.764;1;yes
982091068561051;2;Calls;2;2.999;0;no
982091068561051;3;Silence;2;5.495;0;no
982091068561051;4;Chewing;2;5.501;0;no
982091068561051;5;Pink noise;4;39.010;0;no
982091068549949;1;Calls;0;0;0;no
982091068549949;2;Chewing;0;0;0;no
982091068549949;3;Silence;3;24.247;1;yes
982091068549949;4;Pink noise;5;24.265;0;no
982091068549949;5;Chewing + Calls;0;0;0;no
982091068540740;1;Chewing;0;0;0;no
982091068540740;2;Calls;0;0;0;no
982091068540740;3;Silence;0;0;0;no
982091068540740;4;Pink noise;0;0;0;no
982091068540740;5;Chewing + Calls;2;52.260;1;yes
982091068536984;1;Chewing + Calls;3;43.744;1;yes
982091068536984;2;Pink noise;2;38.974;0;no
982091068536984;3;Silence;4;14.745;0;no
982091068536984;4;Calls;3;30.499;0;no
982091068536984;5;Chewing;3;10.725;0;no
982091068556708;1;Chewing + Calls;1;10.996;1;yes
982091068556708;2;Chewing;1;14.002;0;no
982091068556708;3;Silence;2;28.486;0;no
982091068556708;4;Pink noise;1;26.231;0;no
982091068556708;5;Calls;2;39.490;0;no
