order;id;obs;trial;stimulus;stim_order;pre_calls;pre_chew;pre_pn;playlist;dist_75_cm;dist_50_cm
1;982091068548102;303;1;Silence;4;yes;yes;yes;1;3.066;0
2;982091068548102;303;1;Pink noise;2;yes;yes;no;1;0.499;0
3;982091068548102;303;1;Chewing;3;yes;yes;yes;1;2.171;0
4;982091068548102;303;1;Calls;5;yes;yes;yes;1;1.004;1
5;982091068548102;303;1;Chewing + Calls;1;no;no;no;1;0;0
6;982091068550950;304;1;Silence;1;no;no;no;2;0.25;0
7;982091068550950;304;1;Pink noise;4;yes;yes;no;2;1.59;0
8;982091068550950;304;1;Chewing;2;no;no;no;2;0;0
9;982091068550950;304;1;Calls;5;yes;yes;yes;2;3.754;4
10;982091068550950;304;1;Chewing + Calls;3;no;yes;no;2;0.762;1
11;982091068541705;305;1;Silence;3;yes;yes;no;3;0.885;0
12;982091068541705;305;1;Pink noise;5;yes;yes;no;3;0.994;0
13;982091068541705;305;1;Chewing;4;yes;yes;no;3;1.003;0
14;982091068541705;305;1;Calls;2;yes;yes;no;3;2.746;0
15;982091068541705;305;1;Chewing + Calls;1;no;no;no;3;2.978;1
16;982091068548102;306;2;Silence;4;yes;yes;yes;4;2.799;2
17;982091068548102;306;2;Pink noise;1;no;no;no;4;1.496;0
18;982091068548102;306;2;Chewing;5;yes;yes;yes;4;5.257;3
19;982091068548102;306;2;Calls;3;yes;yes;yes;4;4.742;5
20;982091068548102;306;2;Chewing + Calls;2;no;no;yes;4;2.248;0
21;982091068550950;307;2;Silence;2;yes;no;no;5;0.251;0
22;982091068550950;307;2;Pink noise;5;yes;yes;no;5;0;0
23;982091068550950;307;2;Chewing;4;yes;yes;no;5;3.491;4
24;982091068550950;307;2;Calls;1;no;no;no;5;2.506;1
25;982091068550950;307;2;Chewing + Calls;3;yes;no;no;5;0.51;0
26;982091068541705;308;2;Silence;2;no;no;yes;6;0;0
27;982091068541705;308;2;Pink noise;1;no;no;no;6;0.999;0
28;982091068541705;308;2;Chewing;4;yes;no;yes;6;0.75;0
29;982091068541705;308;2;Calls;3;no;no;yes;6;0;0
30;982091068541705;308;2;Chewing + Calls;5;yes;yes;yes;6;1.497;1
31;982091068548102;309;3;Silence;3;yes;yes;no;7;5.489;4
32;982091068548102;309;3;Pink noise;5;yes;yes;no;7;6.986;4
33;982091068548102;309;3;Chewing;2;yes;yes;no;7;5.505;3
34;982091068548102;309;3;Calls;4;yes;yes;no;7;9.253;5
35;982091068548102;309;3;Chewing + Calls;1;no;no;no;7;3.494;1
36;982091068550950;310;3;Silence;2;yes;no;no;8;2.236;2
37;982091068550950;310;3;Pink noise;3;yes;no;no;8;3.244;0
38;982091068550950;310;3;Chewing;4;yes;no;yes;8;0.036;0
39;982091068550950;310;3;Calls;1;no;no;no;8;0.991;1
40;982091068550950;310;3;Chewing + Calls;5;yes;yes;yes;8;1.004;0
41;982091068541705;311;3;Silence;3;yes;yes;no;9;2.249;1
42;982091068541705;311;3;Pink noise;4;yes;yes;no;9;2.306;0
43;982091068541705;311;3;Chewing;2;yes;no;no;9;1.258;1
44;982091068541705;311;3;Calls;1;no;no;no;9;0.514;0
45;982091068541705;311;3;Chewing + Calls;5;yes;yes;yes;9;4.808;1
46;982091068563418;312;1;Silence;3;yes;yes;no;10;3.527;0
47;982091068563418;312;1;Pink noise;4;yes;yes;no;10;2.766;0
48;982091068563418;312;1;Chewing;1;no;no;no;10;0.795;0
49;982091068563418;312;1;Calls;2;no;yes;no;10;3.94;0
50;982091068563418;312;1;Chewing + Calls;5;yes;yes;yes;10;2.549;0
51;982091068534758;313;1;Silence;3;yes;yes;no;11;0;0
52;982091068534758;313;1;Pink noise;5;yes;yes;no;11;0;0
53;982091068534758;313;1;Chewing;2;yes;yes;no;11;5.306;7
54;982091068534758;313;1;Calls;4;yes;yes;no;11;0.804;0
55;982091068534758;313;1;Chewing + Calls;1;no;no;no;11;0;0
56;982091068542759;314;1;Silence;3;yes;yes;no;12;0.504;0
57;982091068542759;314;1;Pink noise;4;yes;yes;no;12;0.499;0
58;982091068542759;314;1;Chewing;2;yes;yes;no;12;1.495;0
59;982091068542759;314;1;Calls;5;yes;no;yes;12;8.138;6
60;982091068542759;314;1;Chewing + Calls;1;no;no;no;12;0;0
61;982091068563418;315;2;Silence;3;yes;yes;no;13;4.159;0
62;982091068563418;315;2;Pink noise;4;yes;yes;no;13;1.037;0
63;982091068563418;315;2;Chewing;1;no;no;no;13;0.247;0
64;982091068563418;315;2;Calls;5;yes;yes;yes;13;6.264;2
65;982091068563418;315;2;Chewing + Calls;2;no;yes;no;13;0.749;0
66;982091068534758;316;2;Silence;1;no;no;no;14;0;0
67;982091068534758;316;2;Pink noise;3;yes;yes;no;14;0.408;0
68;982091068534758;316;2;Chewing;4;yes;yes;yes;14;0.309;0
69;982091068534758;316;2;Calls;5;yes;yes;yes;14;0;0
70;982091068534758;316;2;Chewing + Calls;2;no;no;no;14;0.5;0
71;982091068542759;317;2;Silence;1;no;no;no;15;1.181;0
72;982091068542759;317;2;Pink noise;5;yes;yes;no;15;0.881;0
73;982091068542759;317;2;Chewing;3;yes;yes;no;15;2.555;2
74;982091068542759;317;2;Calls;4;yes;yes;no;15;3.005;2
75;982091068542759;317;2;Chewing + Calls;2;no;no;no;15;2.357;0
76;982091068563418;318;3;Silence;2;no;yes;no;16;5.759;1
77;982091068563418;318;3;Pink noise;5;yes;yes;no;16;2.0;1
78;982091068563418;318;3;Chewing;1;no;no;no;16;0.252;0
79;982091068563418;318;3;Calls;4;yes;yes;no;16;6.243;1
80;982091068563418;318;3;Chewing + Calls;3;no;yes;no;16;3.013;1
81;982091068534758;319;3;Silence;1;no;no;no;17;0.75;0
82;982091068534758;319;3;Pink noise;4;yes;yes;no;17;0.76;1
83;982091068534758;319;3;Chewing;2;no;no;no;17;0.252;0
84;982091068534758;319;3;Calls;3;no;yes;no;17;1.004;0
85;982091068534758;319;3;Chewing + Calls;5;yes;yes;yes;17;0.25;0
86;982091068542759;320;3;Silence;1;no;no;no;18;0.991;0
87;982091068542759;320;3;Pink noise;2;no;no;no;18;0.753;0
88;982091068542759;320;3;Chewing;3;no;no;yes;18;0.746;0
89;982091068542759;320;3;Calls;5;yes;yes;yes;18;2.501;3
90;982091068542759;320;3;Chewing + Calls;4;no;yes;yes;18;1.071;1
91;982091068540751;321;1;Silence;3;no;yes;yes;19;1.293;0
92;982091068540751;321;1;Pink noise;1;no;no;no;19;0.257;0
93;982091068540751;321;1;Chewing;2;no;no;yes;19;1.093;0
94;982091068540751;321;1;Calls;5;yes;yes;yes;19;2.578;0
95;982091068540751;321;1;Chewing + Calls;4;no;yes;yes;19;2.746;0
96;982091068548042;322;1;Silence;2;no;yes;no;20;0.498;0
97;982091068548042;322;1;Pink noise;4;yes;yes;no;20;0.751;0
98;982091068548042;322;1;Chewing;1;no;no;no;20;0;0
99;982091068548042;322;1;Calls;3;no;yes;no;20;1.877;0
100;982091068548042;322;1;Chewing + Calls;5;yes;yes;yes;20;3.616;0
101;982091068548338;323;1;Silence;4;yes;yes;yes;1;2.224;0
102;982091068548338;323;1;Pink noise;2;yes;yes;no;1;0.498;0
103;982091068548338;323;1;Chewing;3;yes;yes;yes;1;0.245;0
104;982091068548338;323;1;Calls;5;yes;yes;yes;1;0.501;0
105;982091068548338;323;1;Chewing + Calls;1;no;no;no;1;0;0
106;982091068540751;324;2;Silence;1;no;no;no;2;0.047;0
